query,sql_text,plan_json,execution_time,reward
28531.sql,"WITH RankedPosts AS (
    SELECT 
        p.Id AS PostId,
        p.Title,
        p.Body,
        p.CreationDate,
        u.DisplayName AS Author,
        p.ViewCount,
        p.Score,
        p.Tags,
        ROW_NUMBER() OVER (PARTITION BY p.OwnerUserId ORDER BY p.CreationDate DESC) AS PostRank
    FROM 
        Posts p
    JOIN 
        Users u ON p.OwnerUserId = u.Id
    WHERE 
        p.PostTypeId = 1 
)
, PopularTags AS (
    SELECT 
        unnest(string_to_array(Tags, ',')) AS TagName,
        COUNT(*) AS TagCount
    FROM 
        RankedPosts
    GROUP BY 
        TagName
    HAVING 
        COUNT(*) > 5 
)
SELECT 
    rp.PostId,
    rp.Title,
    rp.Body,
    rp.Author,
    rp.CreationDate,
    rp.ViewCount,
    rp.Score,
    pt.TagName,
    pt.TagCount
FROM 
    RankedPosts rp
JOIN 
    PopularTags pt ON pt.TagName = ANY(string_to_array(rp.Tags, ','))
WHERE 
    rp.PostRank = 1 
ORDER BY 
    rp.CreationDate DESC, 
    pt.TagCount DESC
LIMIT 10;",,488.779,-0.10452889616763665
17196.sql,"SELECT *,
       (SELECT COUNT(*) FROM Votes WHERE PostId = p.Id) AS VoteCount,
       (SELECT COUNT(*) FROM Comments WHERE PostId = p.Id) AS CommentCount
FROM Posts p
WHERE CreationDate >= '2023-01-01'
ORDER BY CreationDate DESC
LIMIT 10;
",,18.239,-0.0039005410158814615
5302.sql,"
WITH RankedPosts AS (
    SELECT 
        p.Id AS PostId,
        p.Title,
        p.CreationDate,
        p.Score,
        p.ViewCount,
        u.Reputation AS OwnerReputation,
        ROW_NUMBER() OVER (PARTITION BY p.PostTypeId ORDER BY p.Score DESC, p.ViewCount DESC) AS Rank
    FROM 
        Posts p
    JOIN 
        Users u ON p.OwnerUserId = u.Id
    WHERE 
        p.CreationDate >= TIMESTAMP '2024-10-01 12:34:56' - INTERVAL '1 year'
        AND p.PostTypeId IN (1, 2) 
),
PostDetails AS (
    SELECT 
        rp.PostId,
        rp.Title,
        rp.CreationDate,
        rp.Score,
        rp.ViewCount,
        rp.OwnerReputation,
        COALESCE(c.CommentCount, 0) AS CommentCount,
        COALESCE(a.AnswerCount, 0) AS AnswerCount,
        rp.Rank
    FROM 
        RankedPosts rp
    LEFT JOIN 
        (SELECT PostId, COUNT(*) AS CommentCount FROM Comments GROUP BY PostId) c ON rp.PostId = c.PostId
    LEFT JOIN 
        (SELECT ParentId, COUNT(*) AS AnswerCount FROM Posts WHERE PostTypeId = 2 GROUP BY ParentId) a ON rp.PostId = a.ParentId
)
SELECT 
    pd.Title,
    pd.CreationDate,
    pd.Score,
    pd.ViewCount,
    pd.OwnerReputation,
    pd.CommentCount,
    pd.AnswerCount
FROM 
    PostDetails pd
WHERE 
    pd.Rank <= 5 
ORDER BY 
    pd.CreationDate DESC;
",,13.292,-0.0028425895708699155
12294.sql,"
WITH PostStats AS (
    SELECT 
        P.Id AS PostId,
        P.Title,
        P.PostTypeId,
        U.Id AS OwnerUserId,
        COUNT(C.Id) AS CommentCount,
        COUNT(V.Id) AS VoteCount,
        P.CreationDate,
        P.LastActivityDate,
        P.ViewCount,
        P.Score
    FROM 
        Posts P
    LEFT JOIN 
        Comments C ON P.Id = C.PostId
    LEFT JOIN 
        Votes V ON P.Id = V.PostId
    LEFT JOIN 
        Users U ON P.OwnerUserId = U.Id
    GROUP BY 
        P.Id, P.Title, P.PostTypeId, U.Id, P.CreationDate, P.LastActivityDate, P.ViewCount, P.Score
),
TopPosts AS (
    SELECT 
        PostId, 
        Title, 
        PostTypeId, 
        OwnerUserId, 
        CommentCount, 
        VoteCount, 
        CreationDate, 
        LastActivityDate, 
        ViewCount, 
        Score,
        ROW_NUMBER() OVER (ORDER BY Score DESC, ViewCount DESC) AS Rank
    FROM 
        PostStats
)
SELECT 
    TP.PostId,
    TP.Title,
    TP.PostTypeId,
    U.DisplayName AS OwnerDisplayName,
    TP.CommentCount,
    TP.VoteCount,
    TP.CreationDate,
    TP.LastActivityDate,
    TP.ViewCount,
    TP.Score
FROM 
    TopPosts TP
JOIN 
    Users U ON TP.OwnerUserId = U.Id
WHERE 
    TP.Rank <= 100;
",,21.854,-0.004673634703715854
5492.sql,"
WITH RankedPosts AS (
    SELECT 
        p.Id AS PostId,
        p.Title,
        p.CreationDate,
        p.Score,
        p.ViewCount,
        p.CommentCount,
        u.DisplayName AS OwnerDisplayName,
        ROW_NUMBER() OVER (PARTITION BY pt.Name ORDER BY p.Score DESC) AS Rank,
        pt.Name AS PostTypeName,
        COUNT(v.Id) AS VoteCount
    FROM 
        Posts p
    JOIN 
        PostTypes pt ON p.PostTypeId = pt.Id
    LEFT JOIN 
        Users u ON p.OwnerUserId = u.Id
    LEFT JOIN 
        Votes v ON p.Id = v.PostId
    WHERE 
        p.CreationDate >= TIMESTAMP '2024-10-01 12:34:56' - INTERVAL '30 days'
    GROUP BY 
        p.Id, p.Title, p.CreationDate, p.Score, p.ViewCount, p.CommentCount, u.DisplayName, pt.Name
)
SELECT 
    rp.PostId,
    rp.Title,
    rp.CreationDate,
    rp.Score,
    rp.ViewCount,
    rp.CommentCount,
    rp.OwnerDisplayName,
    rp.PostTypeName,
    rp.Rank,
    CASE 
        WHEN rp.Rank <= 10 THEN 'Top Post'
        ELSE 'Regular Post'
    END AS PostRankClassification
FROM 
    RankedPosts rp
WHERE 
    rp.Rank <= 20
ORDER BY 
    rp.PostTypeName, rp.Rank;
",,6.083,-0.001300893195877347
1382.sql,"
WITH RankedPosts AS (
    SELECT 
        p.Id, 
        p.Title, 
        p.OwnerUserId, 
        p.CreationDate, 
        p.Score, 
        p.ViewCount, 
        p.AnswerCount, 
        ROW_NUMBER() OVER (PARTITION BY p.OwnerUserId ORDER BY p.CreationDate DESC) AS rn
    FROM 
        Posts p
    WHERE 
        p.PostTypeId = 1 AND 
        p.CreationDate >= TIMESTAMP '2024-10-01 12:34:56' - INTERVAL '1 year'
), PopularUsers AS (
    SELECT 
        u.Id,
        u.DisplayName,
        u.Reputation,
        COUNT(DISTINCT p.Id) AS post_count,
        COALESCE(SUM(v.BountyAmount), 0) AS total_bounty
    FROM 
        Users u
    LEFT JOIN 
        Posts p ON u.Id = p.OwnerUserId
    LEFT JOIN 
        Votes v ON p.Id = v.PostId AND v.VoteTypeId = 8 
    WHERE 
        u.Reputation > 1000
    GROUP BY 
        u.Id, u.DisplayName, u.Reputation
), RecentComments AS (
    SELECT 
        c.PostId, 
        COUNT(c.Id) AS comment_count
    FROM 
        Comments c
    WHERE 
        c.CreationDate >= TIMESTAMP '2024-10-01 12:34:56' - INTERVAL '1 month'
    GROUP BY 
        c.PostId
), PostStats AS (
    SELECT 
        rp.Id,
        rp.Title,
        rp.CreationDate,
        rp.Score,
        rp.ViewCount,
        rp.AnswerCount,
        COALESCE(rc.comment_count, 0) AS comment_count,
        u.DisplayName AS owner_display_name,
        rp.OwnerUserId
    FROM 
        RankedPosts rp
    JOIN 
        Users u ON rp.OwnerUserId = u.Id
    LEFT JOIN 
        RecentComments rc ON rp.Id = rc.PostId
    WHERE 
        rp.rn = 1
)
SELECT 
    ps.Id,
    ps.Title,
    ps.CreationDate,
    ps.Score,
    ps.ViewCount,
    ps.AnswerCount,
    ps.comment_count,
    pu.DisplayName AS popular_user_name,
    pu.Reputation AS popular_user_reputation,
    pu.post_count,
    pu.total_bounty
FROM 
    PostStats ps
LEFT JOIN 
    PopularUsers pu ON ps.OwnerUserId = pu.Id
ORDER BY 
    ps.Score DESC,
    ps.ViewCount DESC
LIMIT 10;
",,12.569,-0.002687970833303037
30305.sql,"WITH RECURSIVE PostHierarchy AS (
    SELECT 
        Id,
        ParentId,
        Title,
        CreationDate,
        0 AS Level
    FROM Posts
    WHERE ParentId IS NULL

    UNION ALL

    SELECT 
        p.Id,
        p.ParentId,
        p.Title,
        p.CreationDate,
        ph.Level + 1
    FROM Posts p
    INNER JOIN PostHierarchy ph ON p.ParentId = ph.Id
),

UsersWithBadges AS (
    SELECT 
        u.Id AS UserId,
        u.DisplayName,
        COUNT(b.Id) AS BadgeCount,
        SUM(CASE WHEN b.Class = 1 THEN 1 ELSE 0 END) AS GoldBadges,
        SUM(CASE WHEN b.Class = 2 THEN 1 ELSE 0 END) AS SilverBadges,
        SUM(CASE WHEN b.Class = 3 THEN 1 ELSE 0 END) AS BronzeBadges
    FROM Users u
    LEFT JOIN Badges b ON u.Id = b.UserId
    GROUP BY u.Id, u.DisplayName
),

PostsMetrics AS (
    SELECT 
        p.Id,
        p.Title,
        p.ViewCount,
        p.Score,
        ph.Level,
        u.DisplayName AS OwnerDisplayName,
        ub.BadgeCount,
        COALESCE(v.UpVotes, 0) AS UpVotes,
        COALESCE(v.DownVotes, 0) AS DownVotes
    FROM Posts p
    LEFT JOIN PostHierarchy ph ON p.Id = ph.Id
    LEFT JOIN Users u ON p.OwnerUserId = u.Id
    LEFT JOIN UsersWithBadges ub ON u.Id = ub.UserId
    LEFT JOIN (
        SELECT 
            PostId, 
            SUM(CASE WHEN VoteTypeId = 2 THEN 1 ELSE 0 END) AS UpVotes,
            SUM(CASE WHEN VoteTypeId = 3 THEN 1 ELSE 0 END) AS DownVotes
        FROM Votes
        GROUP BY PostId
    ) v ON p.Id = v.PostId
)

SELECT 
    pm.Id,
    pm.Title,
    pm.ViewCount,
    pm.Score,
    pm.Level,
    pm.OwnerDisplayName,
    pm.BadgeCount,
    pm.UpVotes,
    pm.DownVotes,
    COALESCE(CAST(STRING_AGG(DISTINCT pst.Name, ', ') AS VARCHAR), 'No History') AS PostTypes
FROM PostsMetrics pm
LEFT JOIN PostHistory ph ON pm.Id = ph.PostId
LEFT JOIN PostHistoryTypes pst ON ph.PostHistoryTypeId = pst.Id
WHERE pm.ViewCount > 1000 AND pm.Score > 5
GROUP BY pm.Id, pm.Title, pm.ViewCount, pm.Score, pm.Level, pm.OwnerDisplayName, pm.BadgeCount, pm.UpVotes, pm.DownVotes
ORDER BY pm.Score DESC, pm.ViewCount DESC
LIMIT 50;
",,30.716,-0.00656883698907917
16694.sql,"
SELECT 
    p.Id AS PostId,
    p.Title,
    p.CreationDate,
    u.DisplayName AS OwnerDisplayName,
    COUNT(c.Id) AS CommentCount,
    SUM(CASE WHEN v.VoteTypeId = 2 THEN 1 ELSE 0 END) AS UpVoteCount,
    SUM(CASE WHEN v.VoteTypeId = 3 THEN 1 ELSE 0 END) AS DownVoteCount
FROM 
    Posts p
JOIN 
    Users u ON p.OwnerUserId = u.Id
LEFT JOIN 
    Comments c ON p.Id = c.PostId
LEFT JOIN 
    Votes v ON p.Id = v.PostId
WHERE 
    p.PostTypeId = 1  
GROUP BY 
    p.Id, p.Title, p.CreationDate, u.DisplayName
ORDER BY 
    p.CreationDate DESC
LIMIT 10;
",,13.627,-0.00291423172451432
9626.sql,"WITH RankedUsers AS (
    SELECT 
        U.Id AS UserId,
        U.DisplayName,
        U.Reputation,
        RANK() OVER (ORDER BY U.Reputation DESC) AS UserRank
    FROM 
        Users U
),
PostStatistics AS (
    SELECT 
        P.Id AS PostId,
        P.Title,
        P.PostTypeId,
        COUNT(C.Id) AS NumberOfComments,
        COALESCE(SUM(V.BountyAmount), 0) AS TotalBounty,
        COALESCE(SUM(CASE WHEN V.VoteTypeId = 2 THEN 1 ELSE 0 END), 0) AS TotalUpvotes,
        COALESCE(SUM(CASE WHEN V.VoteTypeId = 3 THEN 1 ELSE 0 END), 0) AS TotalDownvotes
    FROM 
        Posts P
    LEFT JOIN 
        Comments C ON P.Id = C.PostId
    LEFT JOIN 
        Votes V ON P.Id = V.PostId
    GROUP BY 
        P.Id, P.Title, P.PostTypeId
),
UserPostStats AS (
    SELECT
        U.Id AS UserId,
        U.DisplayName,
        COUNT(P.Id) AS TotalPosts,
        SUM(PS.TotalUpvotes) AS TotalUpvotes,
        SUM(PS.TotalDownvotes) AS TotalDownvotes,
        SUM(PS.TotalBounty) AS TotalBounty
    FROM 
        Users U
    LEFT JOIN 
        Posts P ON U.Id = P.OwnerUserId
    LEFT JOIN 
        PostStatistics PS ON P.Id = PS.PostId
    GROUP BY 
        U.Id, U.DisplayName
)
SELECT 
    RU.UserRank,
    UPS.UserId,
    UPS.DisplayName,
    UPS.TotalPosts,
    UPS.TotalUpvotes,
    UPS.TotalDownvotes,
    UPS.TotalBounty
FROM 
    RankedUsers RU
JOIN 
    UserPostStats UPS ON RU.UserId = UPS.UserId
WHERE 
    RU.UserRank <= 10
ORDER BY 
    RU.UserRank;
",,29.241,-0.0062533976558687325
15447.sql,"SELECT 
    p.Id AS PostId,
    p.Title,
    p.CreationDate,
    u.DisplayName AS OwnerDisplayName,
    COUNT(c.Id) AS CommentCount,
    SUM(CASE WHEN v.VoteTypeId = 2 THEN 1 ELSE 0 END) AS UpVoteCount,
    SUM(CASE WHEN v.VoteTypeId = 3 THEN 1 ELSE 0 END) AS DownVoteCount
FROM 
    Posts p
LEFT JOIN 
    Users u ON p.OwnerUserId = u.Id
LEFT JOIN 
    Comments c ON p.Id = c.PostId
LEFT JOIN 
    Votes v ON p.Id = v.PostId
WHERE 
    p.PostTypeId = 1 
GROUP BY 
    p.Id, p.Title, p.CreationDate, u.DisplayName
ORDER BY 
    p.CreationDate DESC
LIMIT 10;",,14.921,-0.003190962909039272
3532.sql,"WITH UserStatistics AS (
    SELECT 
        U.Id AS UserId,
        U.DisplayName,
        U.Reputation,
        COUNT(P.Id) AS TotalPosts,
        SUM(CASE WHEN P.PostTypeId = 1 THEN 1 ELSE 0 END) AS TotalQuestions,
        SUM(CASE WHEN P.PostTypeId = 2 THEN 1 ELSE 0 END) AS TotalAnswers,
        SUM(V.BountyAmount) AS TotalBounty
    FROM 
        Users U
    LEFT JOIN 
        Posts P ON U.Id = P.OwnerUserId
    LEFT JOIN 
        Votes V ON U.Id = V.UserId
    GROUP BY 
        U.Id, U.DisplayName, U.Reputation
),
RecentActivity AS (
    SELECT 
        U.Id AS UserId,
        RANK() OVER (PARTITION BY U.Id ORDER BY C.CreationDate DESC) AS RecentCommentRank,
        C.Text AS LastCommentText
    FROM 
        Users U
    LEFT JOIN 
        Comments C ON U.Id = C.UserId
),
AggregatedData AS (
    SELECT 
        U.UserId,
        U.DisplayName,
        U.Reputation,
        U.TotalPosts,
        U.TotalQuestions,
        U.TotalAnswers,
        U.TotalBounty,
        R.LastCommentText
    FROM 
        UserStatistics U
    LEFT JOIN 
        RecentActivity R ON U.UserId = R.UserId AND R.RecentCommentRank = 1
)
SELECT 
    A.DisplayName,
    A.TotalPosts,
    A.TotalQuestions,
    A.TotalAnswers,
    A.TotalBounty,
    COALESCE(A.LastCommentText, 'No comments made') AS LastCommentText,
    CASE 
        WHEN A.Reputation > 1000 THEN 'High Reputation'
        WHEN A.Reputation BETWEEN 500 AND 1000 THEN 'Medium Reputation'
        ELSE 'Low Reputation'
    END AS ReputationCategory
FROM 
    AggregatedData A
WHERE 
    A.TotalPosts > 10
ORDER BY 
    A.Reputation DESC
LIMIT 50;

",,23.219,-0.0049655497476699196
500.sql,"WITH UserBadges AS (
    SELECT UserId, 
           COUNT(CASE WHEN Class = 1 THEN 1 END) AS GoldBadges,
           COUNT(CASE WHEN Class = 2 THEN 1 END) AS SilverBadges,
           COUNT(CASE WHEN Class = 3 THEN 1 END) AS BronzeBadges
    FROM Badges
    GROUP BY UserId
),
PostStats AS (
    SELECT p.OwnerUserId, 
           COUNT(c.Id) AS CommentCount, 
           SUM(CASE WHEN p.Score IS NOT NULL THEN p.Score ELSE 0 END) AS TotalScore,
           COUNT(CASE WHEN p.PostTypeId = 1 THEN 1 END) AS QuestionCount,
           COUNT(CASE WHEN p.PostTypeId = 2 THEN 1 END) AS AnswerCount
    FROM Posts p
    LEFT JOIN Comments c ON p.Id = c.PostId
    GROUP BY p.OwnerUserId
),
UserReputation AS (
    SELECT u.Id AS UserId, 
           u.DisplayName, 
           u.Reputation,
           COALESCE(ub.GoldBadges, 0) AS GoldBadges,
           COALESCE(ub.SilverBadges, 0) AS SilverBadges,
           COALESCE(ub.BronzeBadges, 0) AS BronzeBadges,
           COALESCE(ps.CommentCount, 0) AS TotalComments,
           COALESCE(ps.TotalScore, 0) AS TotalScore,
           COALESCE(ps.QuestionCount, 0) AS TotalQuestions,
           COALESCE(ps.AnswerCount, 0) AS TotalAnswers
    FROM Users u
    LEFT JOIN UserBadges ub ON u.Id = ub.UserId
    LEFT JOIN PostStats ps ON u.Id = ps.OwnerUserId
),
RankedUsers AS (
    SELECT UserId, 
           DisplayName, 
           Reputation,
           GoldBadges, 
           SilverBadges, 
           BronzeBadges,
           TotalComments, 
           TotalScore, 
           TotalQuestions, 
           TotalAnswers,
           ROW_NUMBER() OVER (ORDER BY Reputation DESC, TotalScore DESC) AS UserRank
    FROM UserReputation
)
SELECT UserId, 
       DisplayName, 
       Reputation, 
       GoldBadges, 
       SilverBadges, 
       BronzeBadges, 
       TotalComments, 
       TotalScore, 
       TotalQuestions, 
       TotalAnswers
FROM RankedUsers
WHERE UserRank <= 10
ORDER BY UserRank;
",,22.834,-0.004883214735272618
10398.sql,"WITH UserBadgeCounts AS (
    SELECT UserId, COUNT(*) AS BadgeCount
    FROM Badges
    GROUP BY UserId
),
UserPostCounts AS (
    SELECT OwnerUserId, COUNT(*) AS PostCount
    FROM Posts
    GROUP BY OwnerUserId
),
UserVoteCounts AS (
    SELECT UserId, COUNT(*) AS VoteCount
    FROM Votes
    GROUP BY UserId
),
UserCommentCounts AS (
    SELECT UserId, COUNT(*) AS CommentCount
    FROM Comments
    GROUP BY UserId
),
UserStats AS (
    SELECT u.Id AS UserId,
           u.DisplayName,
           COALESCE(ub.BadgeCount, 0) AS BadgeCount,
           COALESCE(up.PostCount, 0) AS PostCount,
           COALESCE(uv.VoteCount, 0) AS VoteCount,
           COALESCE(uc.CommentCount, 0) AS CommentCount
    FROM Users u
    LEFT JOIN UserBadgeCounts ub ON u.Id = ub.UserId
    LEFT JOIN UserPostCounts up ON u.Id = up.OwnerUserId
    LEFT JOIN UserVoteCounts uv ON u.Id = uv.UserId
    LEFT JOIN UserCommentCounts uc ON u.Id = uc.UserId
)
SELECT UserId,
       DisplayName,
       BadgeCount,
       PostCount,
       VoteCount,
       CommentCount,
       (BadgeCount + PostCount + VoteCount + CommentCount) AS TotalActivity
FROM UserStats
ORDER BY TotalActivity DESC
LIMIT 100;",,18.73,-0.004005544888834902
19446.sql,"SELECT 
    p.Id AS PostId, 
    p.Title, 
    u.DisplayName AS OwnerDisplayName, 
    p.CreationDate, 
    p.Score, 
    p.ViewCount 
FROM 
    Posts p 
JOIN 
    Users u ON p.OwnerUserId = u.Id 
WHERE 
    p.PostTypeId = 1 
ORDER BY 
    p.CreationDate DESC 
LIMIT 10;",,5.632,-0.0012044436099262234
33774.sql,"
WITH RankedPosts AS (
    SELECT 
        p.Id AS PostId,
        p.Title,
        p.Score,
        p.CreationDate,
        p.OwnerUserId,
        ROW_NUMBER() OVER (PARTITION BY p.OwnerUserId ORDER BY p.Score DESC) AS UserPostRank
    FROM 
        Posts p
    WHERE 
        p.PostTypeId = 1 
),
UserReputation AS (
    SELECT 
        u.Id AS UserId,
        u.Reputation,
        CASE 
            WHEN u.Reputation >= 1000 THEN 'High'
            WHEN u.Reputation >= 100 THEN 'Medium'
            ELSE 'Low'
        END AS ReputationLevel
    FROM 
        Users u
),
PostHistoryAggregates AS (
    SELECT 
        ph.PostId,
        COUNT(*) AS EditCount,
        MAX(ph.CreationDate) AS LastEditDate
    FROM 
        PostHistory ph
    WHERE 
        ph.PostHistoryTypeId IN (4, 5) 
    GROUP BY 
        ph.PostId
),
HighScoringPosts AS (
    SELECT 
        rp.PostId,
        rp.Title,
        rp.Score,
        rp.CreationDate,
        ur.Reputation,
        ur.ReputationLevel,
        pha.EditCount,
        pha.LastEditDate
    FROM 
        RankedPosts rp
    JOIN 
        UserReputation ur ON rp.OwnerUserId = ur.UserId
    LEFT JOIN 
        PostHistoryAggregates pha ON rp.PostId = pha.PostId
    WHERE 
        rp.UserPostRank = 1 
        AND ur.Reputation > 500 
),
PostTags AS (
    SELECT 
        p.Id AS PostId,
        STRING_AGG(t.TagName, ', ') AS Tags
    FROM 
        Posts p
    JOIN 
        UNNEST(string_to_array(p.Tags, ',')) AS tag ON p.Id = p.Id
    JOIN 
        Tags t ON LOWER(TRIM(tag)) = LOWER(t.TagName)
    GROUP BY 
        p.Id
)
SELECT 
    hsp.Title,
    hsp.Score,
    hsp.CreationDate,
    hsp.Reputation,
    hsp.ReputationLevel,
    COALESCE(pt.Tags, 'No Tags') AS Tags,
    hsp.EditCount,
    hsp.LastEditDate
FROM 
    HighScoringPosts hsp
LEFT JOIN 
    PostTags pt ON hsp.PostId = pt.PostId
ORDER BY 
    hsp.Score DESC, hsp.Reputation DESC;
",,21.346,-0.0045649952587864286
2348.sql,"
WITH RankedPosts AS (
    SELECT 
        p.Id AS PostId,
        p.Title,
        p.Score,
        p.CreationDate,
        p.AnswerCount,
        p.ViewCount,
        ROW_NUMBER() OVER (PARTITION BY p.PostTypeId ORDER BY p.Score DESC) AS Rank
    FROM 
        Posts p
    WHERE 
        p.CreationDate >= TIMESTAMP '2024-10-01 12:34:56' - INTERVAL '1 year' AND
        p.Score IS NOT NULL
),
UserPostStats AS (
    SELECT 
        u.Id AS UserId,
        u.DisplayName,
        COALESCE(SUM(v.BountyAmount), 0) AS TotalBounties,
        COUNT(DISTINCT p.Id) AS TotalPosts,
        AVG(p.Score) AS AvgPostScore
    FROM 
        Users u
    LEFT JOIN 
        Posts p ON u.Id = p.OwnerUserId
    LEFT JOIN 
        Votes v ON p.Id = v.PostId AND v.VoteTypeId = 8
    GROUP BY 
        u.Id, u.DisplayName
),
TopUsers AS (
    SELECT 
        ups.UserId,
        ups.DisplayName,
        ups.TotalBounties,
        ups.TotalPosts,
        ups.AvgPostScore,
        RANK() OVER (ORDER BY ups.TotalBounties DESC, ups.AvgPostScore DESC) AS UserRank
    FROM 
        UserPostStats ups
    WHERE 
        ups.TotalPosts > 0
)
SELECT 
    tp.UserId,
    tp.DisplayName,
    tp.TotalBounties,
    tp.TotalPosts,
    tp.AvgPostScore,
    rp.PostId,
    rp.Title,
    rp.Score,
    rp.CreationDate
FROM 
    TopUsers tp
LEFT JOIN 
    RankedPosts rp ON tp.UserId = (SELECT OwnerUserId FROM Posts WHERE Id = rp.PostId)
WHERE 
    tp.UserRank <= 10
ORDER BY 
    tp.TotalBounties DESC, tp.AvgPostScore DESC;
",,22.167,-0.004740571999508984
33815.sql,"
WITH RankedPosts AS (
    SELECT 
        p.Id AS PostId,
        p.OwnerUserId,
        p.CreationDate,
        p.Score,
        p.Title,
        p.Tags,
        ROW_NUMBER() OVER(PARTITION BY p.OwnerUserId ORDER BY p.CreationDate DESC) AS rn
    FROM 
        Posts p
    WHERE 
        p.OwnerUserId IS NOT NULL
), 
UserActivity AS (
    SELECT 
        u.Id AS UserId,
        u.DisplayName,
        u.Reputation,
        COUNT(p.Id) AS PostCount,
        SUM(CASE WHEN p.Score >= 0 THEN 1 ELSE 0 END) AS PositivePosts,
        SUM(CASE WHEN p.Score < 0 THEN 1 ELSE 0 END) AS NegativePosts
    FROM 
        Users u
    LEFT JOIN 
        Posts p ON u.Id = p.OwnerUserId
    GROUP BY 
        u.Id, u.DisplayName, u.Reputation
), 
TopUsers AS (
    SELECT 
        ua.UserId,
        ua.DisplayName,
        ua.Reputation,
        ua.PostCount,
        ua.PositivePosts,
        ua.NegativePosts,
        RANK() OVER (ORDER BY ua.Reputation DESC) AS UserRank
    FROM 
        UserActivity ua
    WHERE 
        ua.PostCount > 0
)
SELECT 
    pu.OwnerUserId AS PostOwner,
    pu.PostId,
    pu.Title,
    pu.CreationDate,
    tu.DisplayName AS TopUser,
    tu.Reputation AS TopUserReputation,
    tu.PostCount AS TotalPosts,
    tu.PositivePosts AS UpVotes,
    tu.NegativePosts AS DownVotes
FROM 
    RankedPosts pu
JOIN 
    TopUsers tu ON pu.OwnerUserId = tu.UserId
WHERE 
    pu.rn = 1
    AND pu.Score >= 5
    AND tu.UserRank <= 10
ORDER BY 
    tu.Reputation DESC, pu.CreationDate DESC;
",,17.922,-0.0038327482913881
3452.sql,"WITH RankedPosts AS (
    SELECT 
        p.Id AS PostId,
        p.Title,
        p.CreationDate,
        p.Score,
        u.DisplayName AS OwnerName,
        ROW_NUMBER() OVER (PARTITION BY p.PostTypeId ORDER BY p.Score DESC) AS Rank
    FROM 
        Posts p
    JOIN 
        Users u ON p.OwnerUserId = u.Id
    WHERE 
        p.CreationDate >= cast('2024-10-01 12:34:56' as timestamp) - INTERVAL '1 year'
),
CommentCounts AS (
    SELECT 
        PostId,
        COUNT(*) AS TotalComments
    FROM 
        Comments
    GROUP BY 
        PostId
),
ClosedPosts AS (
    SELECT 
        ph.PostId,
        COUNT(*) AS CloseCount
    FROM 
        PostHistory ph
    WHERE 
        ph.PostHistoryTypeId = 10 
    GROUP BY 
        ph.PostId
)
SELECT 
    rp.PostId,
    rp.Title,
    rp.CreationDate,
    COALESCE(cc.TotalComments, 0) AS TotalComments,
    COALESCE(cp.CloseCount, 0) AS CloseCount,
    rp.Score,
    rp.OwnerName
FROM 
    RankedPosts rp
LEFT JOIN 
    CommentCounts cc ON rp.PostId = cc.PostId
LEFT JOIN 
    ClosedPosts cp ON rp.PostId = cp.PostId
WHERE 
    rp.Rank <= 5
ORDER BY 
    rp.Score DESC, rp.CreationDate DESC;",,11.179,-0.0023907093599725236
6698.sql,"WITH UserBadges AS (
    SELECT 
        U.Id AS UserId,
        U.DisplayName,
        COUNT(B.Id) AS BadgeCount,
        MAX(B.Class) AS HighestBadgeClass
    FROM 
        Users U
    LEFT JOIN 
        Badges B ON U.Id = B.UserId
    GROUP BY 
        U.Id, U.DisplayName
),
PostStats AS (
    SELECT 
        P.OwnerUserId,
        COUNT(P.Id) AS PostCount,
        SUM(CASE WHEN P.PostTypeId = 1 THEN 1 ELSE 0 END) AS QuestionCount,
        SUM(CASE WHEN P.PostTypeId = 2 THEN 1 ELSE 0 END) AS AnswerCount,
        SUM(P.Score) AS TotalScore,
        AVG(P.Score) AS AverageScore
    FROM 
        Posts P
    GROUP BY 
        P.OwnerUserId
),
CombinedStats AS (
    SELECT 
        UB.UserId,
        UB.DisplayName,
        UB.BadgeCount,
        UB.HighestBadgeClass,
        PS.PostCount,
        PS.QuestionCount,
        PS.AnswerCount,
        PS.TotalScore,
        PS.AverageScore
    FROM 
        UserBadges UB
    LEFT JOIN 
        PostStats PS ON UB.UserId = PS.OwnerUserId
)
SELECT 
    CS.DisplayName,
    CS.BadgeCount,
    CS.HighestBadgeClass,
    COALESCE(CS.PostCount, 0) AS TotalPosts,
    COALESCE(CS.QuestionCount, 0) AS TotalQuestions,
    COALESCE(CS.AnswerCount, 0) AS TotalAnswers,
    COALESCE(CS.TotalScore, 0) AS TotalScore,
    COALESCE(CS.AverageScore, 0) AS AverageScore
FROM 
    CombinedStats CS
ORDER BY 
    CS.BadgeCount DESC, 
    CS.TotalScore DESC
LIMIT 100;
",,12.424,-0.002656961542919638
